"Question","x1","x2","t1","t2","Endowment","d1","d2"
1,10,5,6,2,0,10,5
2,6,4,6,2,0,6,4
3,20,13,6,2,0,20,13
4,15,5,6,2,0,15,5
5,12,4,6,2,0,12,4
6,4,1,6,2,0,4,1
7,14,7,6,2,0,14,7
8,10,8,6,2,0,10,8
9,10,5,3,2,0,10,5
10,10,5,4,2,0,10,5
11,10,5,5,2,0,10,5
12,10,5,5,3,0,10,5
13,20,13,3,2,0,20,13
14,20,13,7,2,0,20,13
15,20,13,7,4,0,20,13
16,20,13,5,2,0,20,13
