"Question","x1","x2","t1","t2","Endowment","d1","d2"
1,5,10,2,6,0,5,10
2,4,6,2,6,0,4,6
3,13,20,2,6,0,13,20
4,5,15,2,6,0,5,15
5,4,12,2,6,0,4,12
6,1,4,2,6,0,1,4
7,7,14,2,6,0,7,14
8,8,10,2,6,0,8,10
9,5,10,2,3,0,5,10
10,5,10,2,4,0,5,10
11,5,10,2,5,0,5,10
12,5,10,3,5,0,5,10
13,13,20,2,3,0,13,20
14,13,20,2,7,0,13,20
15,13,20,4,7,0,13,20
16,13,20,2,5,0,13,20
